season;weekday;hour;electrical_power_per_million_ev_MW
summer;5;18;350
summer;5;19;400
summer;5;20;420
summer;5;21;470
summer;5;22;540
summer;5;23;600
summer;6;0;300
summer;6;1;250
summer;6;2;180
summer;6;3;120
summer;6;4;90
summer;6;5;60
summer;6;6;40
summer;6;7;80
summer;6;8;105
summer;6;9;110
summer;6;10;100
summer;6;11;90
summer;6;12;80
summer;6;13;100
summer;6;14;110
summer;6;15;110
summer;6;16;150
summer;6;17;170
summer;6;18;215
summer;6;19;270
summer;6;20;290
summer;6;21;305
summer;6;22;350
summer;6;23;400
summer;7;0;300
summer;7;1;250
summer;7;2;180
summer;7;3;120
summer;7;4;90
summer;7;5;60
summer;7;6;40
summer;7;7;80
summer;7;8;105
summer;7;9;110
summer;7;10;100
summer;7;11;90
summer;7;12;80
summer;7;13;100
summer;7;14;110
summer;7;15;110
summer;7;16;150
summer;7;17;170
summer;7;18;215
summer;7;19;270
summer;7;20;290
summer;7;21;305
summer;7;22;350
summer;7;23;400
